CODICESCUOLA,CODICEEDIFICIO,SPAZIDIDATTICI,AULAMAGNA,MENSA,PALESTRAPISCINA,SPAZIAMMINISTRATIVI,SUPERAMENTOBARRIEREARCH,ACCESSORAMPE,SCALENORMA,ASCENSOREDISABILI,PIATTAFORMAELEVATRICE,SERVIZIIGIENICIDISABILI,PORTELARGHEZZADISABILI,PERCORSIINTERNIDISABILI,PERCORSIESTERNIDISABILI,ALTRIACCORGIMENTIDISABILI,IMPIANTORISCALDAMENTO,CENTRALIZZATOOLIOCOMBUSTIBILI,CENTRALIZZATOGASOLIO,CENTRALIZZATOMETANO,CENTRALIZZATOGPL,CENTRALIZZATOARIA,CORPISCALDANTIELETTRICIAUTONOMI,TELERISCALDAMENTO,CONDIZIONAMENTOVENTILAZIONE,RISCALDAMENTOALTRANATURA,RANK
LEAA87005T,750790191,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.8
LEAA87501R,750880209,True,False,True,False,True,True,True,False,False,False,True,True,True,False,True,True,False,True,False,False,False,False,False,False,True,4.8
LEAA87503V,750880213,True,False,True,True,False,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,3.6
LEAA87504X,750880210,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,3.2
LEAA87701C,750310088,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.2
LEAA87702D,750310091,True,False,True,True,False,True,True,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,5.2
LEAA879014,750310311,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.4
LEAA879025,750310087,True,False,True,True,False,True,True,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,4.8
LEAA879036,750310498,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,6.0
LEAA880018,750610165,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,2.4
LEAA880029,750610373,True,False,False,True,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.2
LEAA880029,750610371,True,False,True,True,False,True,True,True,False,True,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.8
LEAA88004B,750820151,True,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,3.6
LEAA88005C,750780184,True,False,True,False,False,True,True,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.0
LEAA88006D,750560375,True,False,True,True,False,True,True,False,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,5.2
LEAA881014,750240073,True,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,3.2
LEAA881025,750860256,True,False,True,True,False,True,True,True,False,False,True,True,False,False,True,True,False,True,False,False,False,False,False,False,True,4.8
LEAA882021,750350019,True,False,False,False,False,True,True,False,False,False,True,False,True,True,True,True,False,False,True,False,False,False,False,False,True,4.0
LEAA882043,750350252,True,False,False,True,False,True,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,4.0
LEAA882054,750350250,True,False,False,True,True,True,True,False,True,False,True,False,True,True,True,True,False,False,True,False,False,False,False,False,True,5.2
LEAA886017,750140151,True,False,False,False,False,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.8
LEAA886028,750140364,True,False,False,False,False,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.4
