CODICESCUOLA,CODICEEDIFICIO,SPAZIDIDATTICI,AULAMAGNA,MENSA,PALESTRAPISCINA,SPAZIAMMINISTRATIVI,SUPERAMENTOBARRIEREARCH,ACCESSORAMPE,SCALENORMA,ASCENSOREDISABILI,PIATTAFORMAELEVATRICE,SERVIZIIGIENICIDISABILI,PORTELARGHEZZADISABILI,PERCORSIINTERNIDISABILI,PERCORSIESTERNIDISABILI,ALTRIACCORGIMENTIDISABILI,IMPIANTORISCALDAMENTO,CENTRALIZZATOOLIOCOMBUSTIBILI,CENTRALIZZATOGASOLIO,CENTRALIZZATOMETANO,CENTRALIZZATOGPL,CENTRALIZZATOARIA,CORPISCALDANTIELETTRICIAUTONOMI,TELERISCALDAMENTO,CONDIZIONAMENTOVENTILAZIONE,RISCALDAMENTOALTRANATURA,RANK
GEEE81301T,100330561,True,False,False,False,False,True,True,True,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.0
GEEE81301T,100330265,True,False,False,False,False,True,True,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.4
GEEE81302V,100250190,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.0
GEEE81303X,100250064,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.0
GEEE813041,100250063,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,3.2
GEEE81401N,100320264,True,False,True,False,True,True,True,False,True,True,False,False,True,True,True,True,False,False,True,False,False,False,False,False,True,5.2
GEEE81402P,100080436,True,False,True,True,False,True,False,True,True,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,5.2
GEEE81403Q,100510363,True,False,True,True,False,True,True,False,True,False,True,True,True,False,True,True,False,False,False,False,False,False,True,False,True,5.2
GEEE81404R,100610268,True,False,True,True,False,True,True,False,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6
GEEE81501D,100620291,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.4
GEEE81502E,100030292,True,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6
GEEE81503G,100210098,True,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,6.0
GEEE81504L,100520293,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,2.8
GEEE816019,100250047,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,2.0
GEEE817015,100090214,True,True,True,False,False,True,True,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,5.2
GEEE817026,100090215,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.4
GEEE817037,100090216,True,False,True,True,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,3.6
GEEE817059,100140077,True,False,False,True,False,True,False,False,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.0
