CODICESCUOLA,CODICEEDIFICIO,SPAZIDIDATTICI,AULAMAGNA,MENSA,PALESTRAPISCINA,SPAZIAMMINISTRATIVI,SUPERAMENTOBARRIEREARCH,ACCESSORAMPE,SCALENORMA,ASCENSOREDISABILI,PIATTAFORMAELEVATRICE,SERVIZIIGIENICIDISABILI,PORTELARGHEZZADISABILI,PERCORSIINTERNIDISABILI,PERCORSIESTERNIDISABILI,ALTRIACCORGIMENTIDISABILI,IMPIANTORISCALDAMENTO,CENTRALIZZATOOLIOCOMBUSTIBILI,CENTRALIZZATOGASOLIO,CENTRALIZZATOMETANO,CENTRALIZZATOGPL,CENTRALIZZATOARIA,CORPISCALDANTIELETTRICIAUTONOMI,TELERISCALDAMENTO,CONDIZIONAMENTOVENTILAZIONE,RISCALDAMENTOALTRANATURA,RANK
VACT70400D,120720458,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0
VACT705009,120700010,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.2
VACT705009,120700001,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,True,True,7.2
VACT706005,121270467,True,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,5.6
VAEE80502G,120670180,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0
VAEE80503L,120670181,True,False,False,True,False,True,True,True,True,False,False,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.2
VAEE80601A,120160108,True,False,True,True,False,True,True,False,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6
VAEE80603C,120490110,True,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.8
VAEE80604D,120060107,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.8
VAEE80605E,120640728,False,False,False,True,False,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.4
VAEE80605E,120640251,True,False,True,False,False,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6
VAEE807027,120300340,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6
VAEE807027,120300312,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,2.0
VAEE807027,120300311,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.0
VAEE808012,120900233,True,False,False,False,False,True,True,False,True,False,True,True,True,False,True,True,False,False,False,False,False,False,True,False,True,4.4
VAEE808012,120901157,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,2.0
VAEE808023,120900385,False,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.8
VAEE808023,120900234,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0
VAEE808045,120901153,False,False,False,True,False,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.8
VAEE808045,120900232,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0
VAEE80901T,120890002,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.0
VAEE80901T,120890287,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.2
VAEE80902V,120890288,True,False,False,True,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.2
VAEE80902V,120890002,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.0
