NOMESCUOLA,DESCRIZIONECOMUNE,CODICESCUOLA,INDIRIZZO,LATITUDINE,LONGITUDINE,SITOWEB,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,CODICEISTITUTORIFERIMENTO,CAPSCUOLA
I.C. ILARIA ALPI,VENEZIA,VEEE834055,VIA GOBBI 13,45.4927419,12.293649,http://www.icilariaalpifavaro.it,SCUOLA PRIMARIA,VEIC83400V,30173
GIULIO CESARE PAROLARI,VENEZIA,VEEE827063,VIA CASTELLANA 15,45.53932215,12.1752163474427,http://www.icparolari.gov.it,SCUOLA PRIMARIA,VEIC82700Q,30174
ANTONIO GRAMSCI,VENEZIA,VEAA810028,P.LE S. BENEDETTO ,45.48679325,12.2937593466662,http://www.icgramscicampalto.gov.it,SCUOLA INFANZIA,VEIC81000A,30173
GIULIO CESARE PAROLARI,VENEZIA,VEEE827052,VIA DEL GAZZATO 6,45.504488099999996,12.2305205,http://www.icparolari.gov.it,SCUOLA PRIMARIA,VEIC82700Q,30174
GIULIO CESARE PAROLARI,VENEZIA,VEIC82700Q,VIA CASTELLANA 15,45.53932215,12.1752163474427,,ISTITUTO COMPRENSIVO,VEIC82700Q,30174
GIULIO CESARE PAROLARI,VENEZIA,VEEE827041,VIA ZANDOMENEGHI 1,45.5118731,12.210840300000001,http://www.icparolari.gov.it,SCUOLA PRIMARIA,VEIC82700Q,30174
GIULIO CESARE PAROLARI,VENEZIA,VEMM82701R,VIA TIEPOLO 8,45.4847972,12.175996099999999,http://www.icparolari.gov.it,SCUOLA PRIMO GRADO,VEIC82700Q,30174
CPIA DI VENEZIA,VENEZIA,VECT703004,VIA CAPPUCCINA 6,45.4857911,12.2376746,,CENTRO TERRITORIALE,VEMM161005,30172
VENDRAMIN CORNER,VENEZIA,VEIS00800E,CASTELLO 78,45.434680900000004,12.350914064274301,,ISTITUTO SUPERIORE,VEIS00800E,30122
SILVIO TRENTIN,VENEZIA,VEIC84400D,VIA CAVALLETTO ,45.0527833,9.691401800000001,,ISTITUTO COMPRENSIVO,VEIC84400D,30174
VENDRAMIN CORNER,VENEZIA,VERM00801N,CASTELLO 787,45.434680900000004,12.350914064274301,http://www.ptpvenezia.gov.it,IST PROF INDUSTRIA E ATTIVITA' MARINARE,VEIS00800E,30122
VENDRAMIN CORNER,VENEZIA,VETE008018,DORSODURO 2376,45.43313225,12.3190338289206,http://www.ptpvenezia.gov.it,ISTITUTO TECNICO PER ATTIVITA' SOCIALI (GIA' ITF),VEIS00800E,30123
I.I.S. BRUNO-FRANCHETTI,VENEZIA,VEPC02301X,CORSO DEL POPOLO ,45.482400299999995,12.2401722,http://istitutobrunofranchetti.gov.it,LICEO CLASSICO,VEIS02300L,30172
"I.C. ""FRANCA ONGARO""",VENEZIA,VEAA840035,VIA DEI BOTTA 323,45.319024,12.316837800000002,http://www.scuolelidopellestrina.gov.it,SCUOLA INFANZIA,VEIC840006,30126
CRISTOFORO COLOMBO,VENEZIA,VEEE847035,VIA PERLAN ,45.4919594,12.212009599999998,http://www.comprensivocolombo.gov.it,SCUOLA PRIMARIA,VEIC847001,30174
CPIA DI VENEZIA,VENEZIA,VEEE700011,GIUDECCA 7/2,45.4258541,12.3229991170211,,SCUOLA PRIMARIA,VEMM161005,30123
CRISTOFORO COLOMBO,VENEZIA,VEEE847013,VIA BOSSO ,45.48099620000001,12.198472,http://www.comprensivocolombo.gov.it,SCUOLA PRIMARIA,VEIC847001,30174
