CODICESCUOLA,CODICEEDIFICIO,SPAZIDIDATTICI,AULAMAGNA,MENSA,PALESTRAPISCINA,SPAZIAMMINISTRATIVI,SUPERAMENTOBARRIEREARCH,ACCESSORAMPE,SCALENORMA,ASCENSOREDISABILI,PIATTAFORMAELEVATRICE,SERVIZIIGIENICIDISABILI,PORTELARGHEZZADISABILI,PERCORSIINTERNIDISABILI,PERCORSIESTERNIDISABILI,ALTRIACCORGIMENTIDISABILI,IMPIANTORISCALDAMENTO,CENTRALIZZATOOLIOCOMBUSTIBILI,CENTRALIZZATOGASOLIO,CENTRALIZZATOMETANO,CENTRALIZZATOGPL,CENTRALIZZATOARIA,CORPISCALDANTIELETTRICIAUTONOMI,TELERISCALDAMENTO,CONDIZIONAMENTOVENTILAZIONE,RISCALDAMENTOALTRANATURA,RANK
VETD028012,270243864,True,False,False,True,False,True,True,False,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,4.0
VETD028012,270243872,True,False,False,False,True,True,False,False,False,False,True,False,False,True,True,True,False,False,True,False,False,False,False,False,True,3.6
VETD028012,270243875,True,True,False,False,True,True,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,4.0
VETD028012,270243874,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.8
VETD030001,270333858,True,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6
VETD030001,270333847,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.4
VETD06000R,270123869,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.6
VETD06000R,270423834,True,True,False,False,True,True,True,False,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,4.4
VETE008018,270423848,True,False,False,False,True,True,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,4.0
VETF008013,270423819,True,False,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6
VETF008013,270423808,True,False,False,True,True,True,False,True,False,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,4.8
VETF01301E,270293845,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.4
VETF01901D,270423813,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.8
VETF022019,270083860,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.4
VETF02251P,270083860,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.4
VETF02701C,270243874,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.8
VETF02701C,270243876,True,False,False,False,True,True,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.6
VETF02701C,270243873,True,False,False,True,False,True,False,False,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,3.6
VETF04000T,270423851,True,True,False,True,True,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,4.0
VETF04000T,270423840,True,True,False,True,True,True,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,4.4
VETF04000T,270423881,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1.2
VETF060003,270333862,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.4
VETH00801E,270423824,True,True,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.2
VETL02101N,270333827,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.4
VETN01601N,270423823,True,False,False,False,True,True,False,False,True,False,False,True,True,False,True,True,False,False,True,False,False,False,False,False,True,4.0
VETN01601N,270423819,True,False,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6
