IDVIAGGIO,IDFERMATA,LATITUDINEFERMATA,LONGITUDINEFERMATA,NOMEFERMATA,NUMEROAUTOBUS,ANDATA
2629,5054,45.432186,12.337525,S. Marco (Vallaresso) DX,113,True
2629,5075,45.441383,12.309408,Tronchetto Mercato,113,True
2629,5124,45.429759999999995,12.354997000000001,Giardini DX,113,True
2629,5621,45.42947,12.342235,San Giorgio (A Richiesta),113,True
714,5164,45.431098999999996,12.330381,S. Vio,114,True
1370,5002,45.417683000000004,12.368217,"Lido (S.M.E.) ""C"" dir. Ve",120,True
1370,5070,45.447639,12.424682,Punta Sabbioni SX,120,True
1370,5698,45.424339,12.377112,Lido S.Nicolo'(A Richiest,120,True
455,5005,45.425426,12.360565,"S. Elena ""C"" SX",124,False
455,5007,45.429848,12.354835000000001,Giardini SX,124,False
455,5011,45.433456,12.342808999999999,"S. Zaccaria (Jolanda) ""D""",124,False
455,5013,45.433341999999996,12.342007,"S. Zaccaria (Danieli) ""F""",124,False
455,5024,45.440094,12.306348,Tronchetto 'B' SX,124,False
455,5030,45.438922999999996,12.31883,"P.le Roma (S. Chiara) ""F""",124,False
455,5044,45.435249,12.328128,S. Toma' DX,124,False
455,5046,45.433479,12.3276,S. Samuele,124,False
455,5048,45.431736,12.328522999999999,Accademia DX,124,False
455,5053,45.432125,12.337271000000001,S. Marco (Vallaresso) SX,124,False
455,5075,45.441383,12.309408,Tronchetto Mercato,124,False
455,5132,45.442513,12.328278,S. Marcuola-Casino' SX,124,False
455,5621,45.42947,12.342235,San Giorgio (A Richiesta),124,False
1371,5070,45.447639,12.424682,Punta Sabbioni SX,130,False
1371,5158,45.417698,12.368246000000001,"Lido (S.M.E.) ""C"" dir. P.",130,False
1786,5068,45.487602,12.416217,"Burano ""B"" DX per Treport",132,True
1786,5101,45.488094,12.409512,Mazzorbo,132,True
1786,5693,45.495090000000005,12.412183,Torcello (A Richiesta),132,True
1786,5791,45.454636,12.388569,Capannone (A Richiesta),132,True
1799,5113,45.487572,12.416754,"Burano ""C"" SX per F.te No",133,True
1789,5101,45.488094,12.409512,Mazzorbo,137,False
1789,5113,45.487572,12.416754,"Burano ""C"" SX per F.te No",137,False
