SPAZIDIDATTICI,AULAMAGNA,MENSA,PALESTRAPISCINA,SPAZIAMMINISTRATIVI,SUPERAMENTOBARRIEREARCH,ACCESSORAMPE,SCALENORMA,ASCENSOREDISABILI,PIATTAFORMAELEVATRICE,SERVIZIIGIENICIDISABILI,PORTELARGHEZZADISABILI,PERCORSIINTERNIDISABILI,PERCORSIESTERNIDISABILI,ALTRIACCORGIMENTIDISABILI,IMPIANTORISCALDAMENTO,CENTRALIZZATOOLIOCOMBUSTIBILI,CENTRALIZZATOGASOLIO,CENTRALIZZATOMETANO,CENTRALIZZATOGPL,CENTRALIZZATOARIA,CORPISCALDANTIELETTRICIAUTONOMI,TELERISCALDAMENTO,CONDIZIONAMENTOVENTILAZIONE,RISCALDAMENTOALTRANATURA,RANK,NOMESCUOLA,DESCRIZIONECOMUNE,CODICESCUOLA,INDIRIZZO,LATITUDINE,LONGITUDINE,SITOWEB,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,CODICEISTITUTORIFERIMENTO,CAPSCUOLA
True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.8,I.C. C.BASEGGIO,VENEZIA,VEMM87101V,VIA BOITO 8,45.4897042,12.1472506,http://www.icbaseggio.gov.it,SCUOLA PRIMO GRADO,VEIC87100T,30033
True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.8,I.C. C.BASEGGIO,VENEZIA,VEEE871032,VIA MORANZANI 2,45.4363583,12.205309,http://www.icbaseggio.gov.it,SCUOLA PRIMARIA,VEIC87100T,30176
True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.8,I.C. C.BASEGGIO,VENEZIA,VEAA87101P,VIA PARCO FERROVIARIO ,45.4786736,12.1985203,http://www.icbaseggio.gov.it,SCUOLA INFANZIA,VEIC87100T,30175
True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.8,I.C. C.BASEGGIO,VENEZIA,VEIC87100T,VIA TRIESTE 3,45.477017,12.2099696,,ISTITUTO COMPRENSIVO,VEIC87100T,30175
True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.8,I.C. C.BASEGGIO,VENEZIA,VEEE871043,VIA ORTOLA,44.0439927,10.1374329,http://www.icbaseggio.gov.it,SCUOLA PRIMARIA,VEIC87100T,30175
True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0,I.C. C. GIULIO CESARE,VENEZIA,VEAA87202G,VIA P.KOLBE ,45.4843994,12.2455031132946,http://www.scuolagiuliocesare.net/,SCUOLA INFANZIA,VEIC87200N,30172
True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0,I.C. C. GIULIO CESARE,VENEZIA,VEEE87201Q,VIA CAPPUCCINA 74,45.4857911,12.2376746,http://www.scuolagiuliocesare.net/,SCUOLA PRIMARIA,VEIC87200N,30172
True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0,I.C. C. GIULIO CESARE,VENEZIA,VEIC87200N,VIA CAPPUCCINA /D,45.4879545,12.238945,,ISTITUTO COMPRENSIVO,VEIC87200N,30172
True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0,I.C. C. GIULIO CESARE,VENEZIA,VEEE87202R,VIA P.KOLBE ,45.4843994,12.2455031132946,http://www.scuolagiuliocesare.net/,SCUOLA PRIMARIA,VEIC87200N,30172
True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0,I.C. C. GIULIO CESARE,VENEZIA,VEMM87201P,VIA CAPPUCCINA /D,45.4879545,12.238945,http://www.scuolagiuliocesare.net/,SCUOLA PRIMO GRADO,VEIC87200N,30172
True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0,I.C. LEONARDO DA VINCI,VENEZIA,VEEE87302L,VIA PORTO DI CAVERGNAGO ,45.4867282,12.276655,http://www.icleonardodavincivenezia.gov.it,SCUOLA PRIMARIA,VEIC87300D,30173
True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0,I.C. LEONARDO DA VINCI,VENEZIA,VEEE87301G,VIA BISSUOLA ,45.4952863,12.2498922,http://www.icleonardodavincivenezia.gov.it,SCUOLA PRIMARIA,VEIC87300D,30173
True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0,I.C. LEONARDO DA VINCI,VENEZIA,VEIC87300D,VIA VIRGILIO ,45.4959117,12.2626993,,ISTITUTO COMPRENSIVO,VEIC87300D,30173
